Time[s], RIGHT, LEFT, BACK, FWD, SO
3.800786, 1, 1, 1, 0, 0
3.801117, 1, 1, 1, 0, 1
3.802116, 1, 1, 1, 0, 0
3.802446, 1, 1, 1, 0, 1
3.80278, 1, 1, 1, 0, 0
3.80311, 1, 1, 1, 0, 1
3.803443, 1, 1, 1, 0, 0
3.803773, 1, 1, 1, 0, 1
3.804106, 1, 1, 1, 0, 0
3.804437, 1, 1, 1, 0, 1
3.80477, 1, 1, 1, 0, 0
3.8051, 1, 1, 1, 0, 1
3.805433, 1, 1, 1, 0, 0
3.805764, 1, 1, 1, 0, 1
3.806097, 1, 1, 1, 0, 0
3.806427, 1, 1, 1, 0, 1
3.80676, 1, 1, 1, 0, 0
3.80709, 1, 1, 1, 0, 1
3.807424, 1, 1, 1, 0, 0
3.807754, 1, 1, 1, 0, 1
3.808087, 1, 1, 1, 0, 0
3.808417, 1, 1, 1, 0, 1
3.80875, 1, 1, 1, 0, 0
3.809081, 1, 1, 1, 0, 1
3.81008, 1, 1, 1, 0, 0
3.81041, 1, 1, 1, 0, 1
3.81141, 1, 1, 1, 0, 0
3.81174, 1, 1, 1, 0, 1
3.812739, 1, 1, 1, 0, 0
3.81307, 1, 1, 1, 0, 1
3.814069, 1, 1, 1, 0, 0
3.814399, 1, 1, 1, 0, 1
3.814733, 1, 1, 1, 0, 0
3.815063, 1, 1, 1, 0, 1
3.815396, 1, 1, 1, 0, 0
3.815726, 1, 1, 1, 0, 1
3.816059, 1, 1, 1, 0, 0
3.81639, 1, 1, 1, 0, 1
3.816723, 1, 1, 1, 0, 0
3.817053, 1, 1, 1, 0, 1
3.817386, 1, 1, 1, 0, 0
3.817717, 1, 1, 1, 0, 1
3.81805, 1, 1, 1, 0, 0
3.81838, 1, 1, 1, 0, 1
3.818713, 1, 1, 1, 0, 0
3.819043, 1, 1, 1, 0, 1
3.819377, 1, 1, 1, 0, 0
3.819707, 1, 1, 1, 0, 1
3.82004, 1, 1, 1, 0, 0
3.82037, 1, 1, 1, 0, 1
3.820703, 1, 1, 1, 0, 0
3.821034, 1, 1, 1, 0, 1
3.822033, 1, 1, 1, 0, 0
3.822363, 1, 1, 1, 0, 1
3.823363, 1, 1, 1, 0, 0
3.823693, 1, 1, 1, 0, 1
3.824692, 1, 1, 1, 0, 0
3.825023, 1, 1, 1, 0, 1
3.826022, 1, 1, 1, 0, 0
3.826352, 1, 1, 1, 0, 1
3.826686, 1, 1, 1, 0, 0
3.827016, 1, 1, 1, 0, 1
3.827349, 1, 1, 1, 0, 0
3.827679, 1, 1, 1, 0, 1
3.828012, 1, 1, 1, 0, 0
3.828343, 1, 1, 1, 0, 1
3.828676, 1, 1, 1, 0, 0
3.829006, 1, 1, 1, 0, 1
3.829339, 1, 1, 1, 0, 0
3.82967, 1, 1, 1, 0, 1
3.830003, 1, 1, 1, 0, 0
3.830333, 1, 1, 1, 0, 1
3.830666, 1, 1, 1, 0, 0
3.830996, 1, 1, 1, 0, 1
3.83133, 1, 1, 1, 0, 0
3.83166, 1, 1, 1, 0, 1
3.831993, 1, 1, 1, 0, 0
3.832323, 1, 1, 1, 0, 1
3.832656, 1, 1, 1, 0, 0
3.832987, 1, 1, 1, 0, 1
3.833986, 1, 1, 1, 0, 0
